index,title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
239,Vice President Software Technology,Bengaluru,STRAND LIFE SCIENCES PRIVATE LIMITED,"50,00,000 - 60,00,000 PA.",1,"licenses, certifications, specialized training, physical or mental abilities required)1...",vice president software technologyweb technologiessoftware product developmentmobile application developmentcloud computingVP Software Technology,1,0
240,Application Developer,Chandigarh,Oceaneering International Services Limited,Not disclosed,3,JOB DESCRIPTION Position Summary We are looking for Elastic Search Developer with stron...,Solution architectureCloud computingC++ArchitectureSOALinuxDatabase designXML,1,1
241,MTS-Physical- Design- Engineer,Bengaluru,"Advanced Micro Devices, Inc.",Not disclosed,7,Physical Design Engineer Top engineering skills just isn't good enough for our Engineer...,GraphicsCycle time reductionCloud computingSimulationSOChigh performance computingGamingMTS,0,0
242,MTS-Physical-Design- Engineer,Bengaluru,"Advanced Micro Devices, Inc.",Not disclosed,7,Physical Design Engineer Requirements: Physical design and implementation of digital ci...,GraphicsCycle time reductionCloud computingSimulationSOChigh performance computingGamingMTS,0,0
243,Dot Net Developer Jobs in,Pune,Extentia Information Technology,Not disclosed,3,Dot Net Developer Jobs in Pune Over 3 -7 years of experience in software development Ha...,Cloud computingAzuredevelopmentsoftwaretestingitmicrosoftBusiness Executive,0,0
244,PRODUCT ENGINEER,Kolkata,PAYABBHI,Not disclosed,2,"What will you do at Payabbhi Design, build, and maintain REST APIs, Client Libraries an...",Computer scienceCloud computingC++BackendNoSQLWeb technologiesAgileProgramming,0,0
245,Software Engineer/Senior Software Engineer,Bengaluru,Yoodle,Not disclosed,1,Key responsibilities of this role comprises of the following Strong technical contribut...,Computer scienceCloud computingNoSQLShell scriptingSCALAPLSQLData structuresOpen source,0,0
246,Technical Writer,Hyderabad,GAIAN SOLUTIONS,Not disclosed,1,First to deploy an IPTV/OTT solution on cruise lines First to offer geo-targeted advert...,Relationship managementCloud computingProduct engineeringArchitectureConsultingStrategic planningApplication developmentOutsourcing,0,0
247,Backup Administrator,Pune,Sakon,Not disclosed,4,"We are one of the world s top SaaS companies in our market, and a leader in managing en...",SCSIVMwareSANCloud computingISCSIDisaster recoveryTroubleshootingTechnical support,0,0
248,L2 - AWS & Azure Cloud Infrastructure,Gurgaon,Capsag Consulting Services Pvt Ltd,Not disclosed,1,"L2 - AWS & Azure Cloud Infrastructure Gurugram, Haryana, India Job Description Work as ...",Cloud computingServer monitoringFTPNetworkingDNSSSHSupport servicesHTTP,0,0
249,L2 - AWS & Azure Cloud Infrastructure,haryana,Capsag Consulting Services Pvt Ltd,Not disclosed,1,"L2 - AWS & Azure Cloud Infrastructure Gurugram, Haryana, India Job Description Work as ...",Cloud computingServer monitoringFTPNetworkingDNSSSHSupport servicesHTTP,0,0
250,Power BI - Executive,Mumbai,ZECRUITERS SEARCH RESOURCERS LLP,Not disclosed,3,3+ years experience as a Business Intelligence developer using the Microsoft Power BI p...,Cloud computingPublishingMySQLStored proceduresBusiness intelligencemicrosoftInformation technologyUser acceptance testing,0,0
251,Principal Cloud Security Architect,sirsa,DXC Technology,Not disclosed,1,Principal Cloud Security Architect This vacancy is for a Principal Cloud Security Profe...,ArchitectVMwareCloud computingJSPInformation securityNetwork securitymicrosoftSCM,0,0
252,Senior Engineer 1,Bengaluru,JCPenny,Not disclosed,7,Define the technical roadmap Lead the team?s technical direction by exploring and imple...,UnixCloud computingNoSQLLinuxcassandraSocial mediaShell scriptingDebugging,0,0
253,Staff Engineer - DevTest,Bengaluru,"Zscaler, Inc.",Not disclosed,3,Responsibilities/What You ll Do: Participate in product development early-on during the...,UnixCloud computingAutomationShell scriptingPerlHTTPWindowsSQL,0,0
254,Staff Engineer - DevTest,Chandigarh,"Zscaler, Inc.",Not disclosed,3,Responsibilities/What You ll Do: Participate in product development early-on during the...,UnixCloud computingAutomationShell scriptingPerlHTTPWindowsSQL,0,0
255,Senior Technical Content Developer,Bengaluru,VMware India,Not disclosed,6,"This position is responsible for developing, delivering and maintaining technical cours...",UnixCloud computingAutomationCcieLinuxNetworkingConsultingHTTP,0,0
256,Cloud Architect,Gurgaon,ORANGE BUSINESS SERVICES INDIA SOLUTIONS Pvt. Ltd.,Not disclosed,5,Exp- 6-10yrs Location- Gurgaon Job Description- * Experience in one or more Cloud platf...,kubernetespythonopenshiftvmwareIAAScicddockersecurity,1,0
